Q,GroupName,Range_q,Azimuth_q,Dataset,DatasetIdx,CStart,PSNR,SSIM
1,R1A1_NoUp,1,1,SAR_Dataset_Bangkok_1,1,840,23.5591316223145,0.630439221858978
1,R1A1_NoUp,1,1,SAR_Dataset_Bangkok_1,1,2520,23.8997077941895,0.605362117290497
1,R1A1_NoUp,1,1,SAR_Dataset_Bangkok_1,1,4200,22.8331985473633,0.567643225193024
1,R1A1_NoUp,1,1,SAR_Dataset_Bangkok_1,1,5880,22.3428134918213,0.497185319662094
1,R1A1_NoUp,1,1,SAR_Dataset_Bangkok_1,1,7560,23.9820442199707,0.599560439586639
1,R1A1_NoUp,1,1,SAR_Dataset_Bangkok_1,1,9241,23.0722522735596,0.61788809299469
1,R1A1_NoUp,1,1,SAR_Dataset_Bangkok_1,1,10921,23.1330585479736,0.621313035488129
1,R1A1_NoUp,1,1,SAR_Dataset_Bangkok_1,1,12601,23.7590427398682,0.645965695381165
1,R1A1_NoUp,1,1,SAR_Dataset_Bangkok_1,1,14281,24.5632724761963,0.624216973781586
1,R1A1_NoUp,1,1,SAR_Dataset_Bangkok_1,1,15961,23.5093269348145,0.632630825042725
1,R1A1_NoUp,1,1,SAR_Dataset_city1_histeq,2,450,22.2517890930176,0.654914200305939
1,R1A1_NoUp,1,1,SAR_Dataset_city1_histeq,2,1350,23.7508563995361,0.664153695106506
1,R1A1_NoUp,1,1,SAR_Dataset_city1_histeq,2,2250,22.584644317627,0.655510127544403
1,R1A1_NoUp,1,1,SAR_Dataset_city1_histeq,2,3150,22.8208084106445,0.626840710639954
1,R1A1_NoUp,1,1,SAR_Dataset_city1_histeq,2,4050,21.6341018676758,0.651711583137512
1,R1A1_NoUp,1,1,SAR_Dataset_city1_histeq,2,4951,21.7045421600342,0.663435697555542
1,R1A1_NoUp,1,1,SAR_Dataset_city1_histeq,2,5851,22.9538421630859,0.6380335688591
1,R1A1_NoUp,1,1,SAR_Dataset_city1_histeq,2,6751,23.3043842315674,0.609057486057281
1,R1A1_NoUp,1,1,SAR_Dataset_city1_histeq,2,7651,23.2514533996582,0.595253050327301
1,R1A1_NoUp,1,1,SAR_Dataset_city1_histeq,2,8551,24.4387397766113,0.628567397594452
1,R1A1_NoUp,1,1,SAR_Dataset_city2_histeq,3,450,22.4304046630859,0.564278185367584
1,R1A1_NoUp,1,1,SAR_Dataset_city2_histeq,3,1350,24.1723747253418,0.608139157295227
1,R1A1_NoUp,1,1,SAR_Dataset_city2_histeq,3,2250,24.7146034240723,0.619794964790344
1,R1A1_NoUp,1,1,SAR_Dataset_city2_histeq,3,3150,24.375732421875,0.596505343914032
1,R1A1_NoUp,1,1,SAR_Dataset_city2_histeq,3,4050,23.6146354675293,0.631975471973419
1,R1A1_NoUp,1,1,SAR_Dataset_city2_histeq,3,4951,24.9210815429688,0.62969982624054
1,R1A1_NoUp,1,1,SAR_Dataset_city2_histeq,3,5851,23.8099689483643,0.600680410861969
1,R1A1_NoUp,1,1,SAR_Dataset_city2_histeq,3,6751,22.926607131958,0.600649654865265
1,R1A1_NoUp,1,1,SAR_Dataset_city2_histeq,3,7651,23.6041736602783,0.589659094810486
1,R1A1_NoUp,1,1,SAR_Dataset_city2_histeq,3,8551,22.871561050415,0.630274295806885
1,R1A1_NoUp,1,1,SAR_Dataset_SAR_figure,4,375,24.2219696044922,0.564409971237183
1,R1A1_NoUp,1,1,SAR_Dataset_SAR_figure,4,1125,23.3973579406738,0.63447368144989
1,R1A1_NoUp,1,1,SAR_Dataset_SAR_figure,4,1875,21.4234008789062,0.673441648483276
1,R1A1_NoUp,1,1,SAR_Dataset_SAR_figure,4,2625,21.9237098693848,0.680563449859619
1,R1A1_NoUp,1,1,SAR_Dataset_SAR_figure,4,3375,22.4303207397461,0.664955854415894
1,R1A1_NoUp,1,1,SAR_Dataset_SAR_figure,4,4126,21.6079330444336,0.673817038536072
1,R1A1_NoUp,1,1,SAR_Dataset_SAR_figure,4,4876,22.8622131347656,0.651695191860199
1,R1A1_NoUp,1,1,SAR_Dataset_SAR_figure,4,5626,21.6272277832031,0.666207551956177
1,R1A1_NoUp,1,1,SAR_Dataset_SAR_figure,4,6376,22.7955055236816,0.644593417644501
1,R1A1_NoUp,1,1,SAR_Dataset_SAR_figure,4,7126,23.9428596496582,0.576326727867126
1,R1A1_NoUp,1,1,SAR_Dataset_filed,5,480,21.4565830230713,0.68536901473999
1,R1A1_NoUp,1,1,SAR_Dataset_filed,5,1440,22.4086093902588,0.675646960735321
1,R1A1_NoUp,1,1,SAR_Dataset_filed,5,2400,25.0795364379883,0.624230444431305
1,R1A1_NoUp,1,1,SAR_Dataset_filed,5,3360,20.5635032653809,0.624433517456055
1,R1A1_NoUp,1,1,SAR_Dataset_filed,5,4320,19.459135055542,0.653347969055176
1,R1A1_NoUp,1,1,SAR_Dataset_filed,5,5281,22.9871387481689,0.634100556373596
1,R1A1_NoUp,1,1,SAR_Dataset_filed,5,6241,23.4821968078613,0.628754675388336
1,R1A1_NoUp,1,1,SAR_Dataset_filed,5,7201,22.6140365600586,0.679981648921967
1,R1A1_NoUp,1,1,SAR_Dataset_filed,5,8161,23.1259498596191,0.675576627254486
1,R1A1_NoUp,1,1,SAR_Dataset_filed,5,9121,26.2714786529541,0.676696300506592
1,R1A1_NoUp,1,1,SAR_Dataset_port,6,720,22.3438606262207,0.606441020965576
1,R1A1_NoUp,1,1,SAR_Dataset_port,6,2160,21.7178325653076,0.659858703613281
1,R1A1_NoUp,1,1,SAR_Dataset_port,6,3600,22.1489562988281,0.65613716840744
1,R1A1_NoUp,1,1,SAR_Dataset_port,6,5040,21.7192611694336,0.65972113609314
1,R1A1_NoUp,1,1,SAR_Dataset_port,6,6480,23.2159156799316,0.643560647964478
1,R1A1_NoUp,1,1,SAR_Dataset_port,6,7921,21.3616676330566,0.657331049442291
