Q,GroupName,Range_q,Azimuth_q,GroupType,Description,SampleCount,As,PSNR_Mean,PSNR_Std,SSIM_Mean,SSIM_Std
1,R1A1_NoUp,1,1,no_upsample,无上采样基线（1-bit量化+SplitRT，无上采样）,70,0.6,23.0516770771572,1.21635667153964,0.635923510364124,0.0351114338864083
4,R1A4,1,4,azimuth_only,方位向单方向上采样对照,70,0.6,25.7257989883423,1.4630109857608,0.784278786182404,0.0267559590967913
4,R2A2,2,2,balanced,双向均衡上采样方案,70,0.6,26.0622540882656,1.43584809980921,0.80259878550257,0.0263202495398186
4,R4A1,4,1,range_only,距离向单方向上采样对照,70,0.6,25.7766840526036,1.41043141303472,0.785691659791129,0.0277148079590309
6,R1A6,1,6,azimuth_only,方位向单方向上采样对照,70,0.6,26.1415160860334,1.42680079097677,0.803741120440619,0.0248500589351289
6,R2A3,2,3,mixed,双向非均衡混合上采样方案,70,0.6,26.5585386821202,1.47965534278568,0.82455609866551,0.0247706500375772
6,R3A2,3,2,mixed,双向非均衡混合上采样方案,70,0.6,26.5524548121861,1.46618620383848,0.824639127935682,0.0240465174257158
6,R6A1,6,1,range_only,距离向单方向上采样对照,70,0.6,26.1031510489328,1.47406871542886,0.803799285207476,0.026297860824198
8,R1A8,1,8,azimuth_only,方位向单方向上采样对照,70,0.6,26.3357539585658,1.47415891097679,0.813638750144414,0.0242778457170952
8,R2A4,2,4,mixed,双向非均衡混合上采样方案,70,0.6,26.8194219044277,1.51098608692958,0.836294974599566,0.0214945778943728
8,R4A2,4,2,mixed,双向非均衡混合上采样方案,70,0.6,26.8065926688058,1.53744567750359,0.835646031584058,0.0232210541559974
8,R8A1,8,1,range_only,距离向单方向上采样对照,70,0.6,26.36177948543,1.46191975238548,0.81481186236654,0.0248775544044883
9,R1A9,1,9,azimuth_only,方位向单方向上采样对照,70,0.6,26.3977533612932,1.49371456415783,0.817102319853646,0.0235242540913807
9,R3A3,3,3,balanced,双向均衡上采样方案,70,0.6,26.9167196001325,1.53814759464484,0.840024802514485,0.0227750020977751
9,R9A1,9,1,range_only,距离向单方向上采样对照,70,0.6,26.4482068198068,1.47240035845588,0.818641949551446,0.0233348783123624
10,R1A10,1,10,azimuth_only,方位向单方向上采样对照,70,0.6,26.4481221607753,1.46918386754857,0.819815571819033,0.0234276239488213
10,R2A5,2,5,mixed,双向非均衡混合上采样方案,70,0.6,26.9417592184884,1.51054486724047,0.842319028718131,0.0217230006466389
10,R5A2,5,2,mixed,双向非均衡混合上采样方案,70,0.6,26.9702072143555,1.52196950989372,0.842741100277219,0.0211809378497008
10,R10A1,10,1,range_only,距离向单方向上采样对照,70,0.6,26.46302318573,1.46015781590692,0.820603823661804,0.0234944524893184
